Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Information Systems,Information Systems,3.87,1073,31,6,1,0,7,7,7,2.57,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.8,1410,23,3,9,5,8,7,6,3.31,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.71,1264,33,0,2,6,0,1,8,3.08,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.59,1316,24,7,1,8,0,5,3,3.16,Yes
Chemical Engineering,Information Systems,3.98,1569,31,3,6,6,0,10,7,2.59,No
Computer Engineering,Information Systems,3.52,1232,30,0,2,10,7,10,4,3.64,Yes
Information Systems,Computer Science and Electrical Engineering,3.21,1188,27,4,3,5,1,9,10,3.88,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.68,1481,26,7,8,10,4,6,7,3.73,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.71,1359,29,9,8,6,6,7,5,2.76,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.73,1488,32,8,5,4,3,1,3,2.92,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.94,1288,21,10,7,9,4,10,6,3.61,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.73,1156,25,6,8,5,9,7,2,3.51,No
Business TechNology Administration,Computer Science and Electrical Engineering,3.6,1445,22,3,5,8,5,2,4,3.45,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.68,1465,26,4,5,1,7,10,4,2.65,Yes
Business TechNology Administration,Information Systems,2.85,1110,34,4,6,8,5,10,5,3.73,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.87,1523,26,3,8,4,2,3,10,2.81,Yes
Computer Science,Information Systems,2.57,1155,24,0,5,5,6,8,3,2.59,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.64,1279,31,2,3,6,10,3,0,3.23,Yes
Environmental Engineering,Information Systems,3.14,1080,34,5,9,2,8,10,5,3.15,Yes
Computer Science,Computer Science and Electrical Engineering,3.26,1586,23,1,8,3,9,6,4,3.18,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.01,1369,35,2,7,9,2,3,6,2.71,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.47,1155,25,2,9,6,10,9,7,3.18,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.85,1309,26,6,1,1,5,7,9,3.5,Yes
Information Systems,Information Systems,2.51,1595,20,2,9,5,3,5,10,3.1,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.69,1421,24,10,0,5,2,3,6,3.23,Yes
Computer Engineering,Information Systems,2.56,1588,20,0,6,3,9,7,5,3.04,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.46,1422,32,0,9,3,0,4,4,2.77,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.97,1549,29,3,7,4,0,1,4,2.95,Yes
