Student ID,Interests,Career Goals,Matched Courses
1,Robotics,Biochemical Engineer,"Biochemical Engineering, Process Design"
2,Embedded Systems,Cybersecurity Analyst,"Introduction to Cybersecurity, Digital Forensics"
3,Biochemical Engineering,Data Scientist,"Principles of Digital Design, VLSI Design"
4,Database Management,Environmental Engineer,"Introduction to Cybersecurity, Digital Forensics"
5,"AI, Machine Learning",Environmental Engineer,"Data Mining for Business Intelligence, Machine Learning"
6,"AI, Machine Learning",Environmental Engineer,"Biochemical Engineering, Process Design"
7,Embedded Systems,Signal Processing Engineer,"Signal Processing, Analog and Digital Communication"
8,"AI, Machine Learning",Biochemical Engineer,"Software and Hardware Concepts, Data Structures"
9,Embedded Systems,Environmental Engineer,"Database Management Systems, Systems Analysis and Design"
10,Software Development,Signal Processing Engineer,"Introduction to Cybersecurity, Digital Forensics"
11,Embedded Systems,Data Scientist,"Data Mining for Business Intelligence, Machine Learning"
12,"AI, Machine Learning",Embedded Systems Engineer,"Data Mining for Business Intelligence, Machine Learning"
13,Embedded Systems,Signal Processing Engineer,"Signal Processing, Analog and Digital Communication"
14,"AI, Machine Learning",Database Administrator,"Introduction to Embedded Systems, Robotics"
15,Cybersecurity,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
16,Robotics,Cybersecurity Analyst,"Introduction to Cybersecurity, Digital Forensics"
17,Cybersecurity,Database Administrator,"Computer Science I, Computer Science II"
18,Biochemical Engineering,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
19,Data Science,Signal Processing Engineer,"Environmental Engineering, Water Quality Control"
20,Data Science,Database Administrator,"Signal Processing, Analog and Digital Communication"
21,Embedded Systems,Biochemical Engineer,"Biochemical Engineering, Process Design"
22,Environmental Engineering,Robotics Engineer,"Introduction to Cybersecurity, Digital Forensics"
23,Embedded Systems,Data Scientist,"Environmental Engineering, Water Quality Control"
24,Environmental Engineering,Database Administrator,"Database Management Systems, Systems Analysis and Design"
25,Environmental Engineering,AI Specialist,"Environmental Engineering, Water Quality Control"
26,Embedded Systems,Cybersecurity Analyst,"Introduction to Cybersecurity, Digital Forensics"
27,Software Development,Embedded Systems Engineer,"Environmental Engineering, Water Quality Control"
28,Software Development,Software Developer,"Introduction to Embedded Systems, Robotics"
29,Software Development,Environmental Engineer,"Introduction to Embedded Systems, Robotics"
30,"AI, Machine Learning",Embedded Systems Engineer,"Principles of Digital Design, VLSI Design"
31,Embedded Systems,Database Administrator,"Database Management Systems, Systems Analysis and Design"
32,Robotics,AI Specialist,"Signal Processing, Analog and Digital Communication"
33,Biochemical Engineering,Embedded Systems Engineer,"Software and Hardware Concepts, Data Structures"
34,Signal Processing,Database Administrator,"Biochemical Engineering, Process Design"
35,Cybersecurity,Cybersecurity Analyst,"Software and Hardware Concepts, Data Structures"
36,Software Development,Signal Processing Engineer,"Database Management Systems, Systems Analysis and Design"
37,Embedded Systems,Embedded Systems Engineer,"Computer Science I, Computer Science II"
38,Cybersecurity,Database Administrator,"Signal Processing, Analog and Digital Communication"
39,Data Science,Database Administrator,"Software and Hardware Concepts, Data Structures"
40,Environmental Engineering,Robotics Engineer,"Data Mining for Business Intelligence, Machine Learning"
41,Biochemical Engineering,AI Specialist,"Principles of Digital Design, VLSI Design"
42,Signal Processing,Database Administrator,"Software and Hardware Concepts, Data Structures"
43,Biochemical Engineering,Data Scientist,"Introduction to Embedded Systems, Robotics"
44,Data Science,Biochemical Engineer,"Principles of Digital Design, VLSI Design"
45,"AI, Machine Learning",AI Specialist,"Software and Hardware Concepts, Data Structures"
46,Software Development,Embedded Systems Engineer,"Signal Processing, Analog and Digital Communication"
47,Environmental Engineering,Cybersecurity Analyst,"Biochemical Engineering, Process Design"
48,Embedded Systems,Database Administrator,"Biochemical Engineering, Process Design"
49,Embedded Systems,Signal Processing Engineer,"Environmental Engineering, Water Quality Control"
50,Robotics,Embedded Systems Engineer,"Database Management Systems, Systems Analysis and Design"
51,Database Management,Environmental Engineer,"Software and Hardware Concepts, Data Structures"
52,Cybersecurity,Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
53,Software Development,Database Administrator,"Signal Processing, Analog and Digital Communication"
54,Signal Processing,Cybersecurity Analyst,"Environmental Engineering, Water Quality Control"
55,Data Science,Cybersecurity Analyst,"Data Mining for Business Intelligence, Machine Learning"
56,Database Management,Environmental Engineer,"Software and Hardware Concepts, Data Structures"
57,Data Science,AI Specialist,"Introduction to Cybersecurity, Digital Forensics"
58,Signal Processing,Robotics Engineer,"Environmental Engineering, Water Quality Control"
59,Environmental Engineering,Environmental Engineer,"Computer Science I, Computer Science II"
60,Embedded Systems,Software Developer,"Software and Hardware Concepts, Data Structures"
61,Robotics,Signal Processing Engineer,"Signal Processing, Analog and Digital Communication"
62,"AI, Machine Learning",Software Developer,"Environmental Engineering, Water Quality Control"
63,Environmental Engineering,Signal Processing Engineer,"Data Mining for Business Intelligence, Machine Learning"
64,Data Science,Data Scientist,"Software and Hardware Concepts, Data Structures"
65,Environmental Engineering,Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
66,Biochemical Engineering,Signal Processing Engineer,"Data Mining for Business Intelligence, Machine Learning"
67,Database Management,Environmental Engineer,"Software and Hardware Concepts, Data Structures"
68,"AI, Machine Learning",Database Administrator,"Introduction to Embedded Systems, Robotics"
69,Signal Processing,Software Developer,"Database Management Systems, Systems Analysis and Design"
70,Data Science,Cybersecurity Analyst,"Introduction to Embedded Systems, Robotics"
71,Software Development,Environmental Engineer,"Signal Processing, Analog and Digital Communication"
72,Software Development,Embedded Systems Engineer,"Software and Hardware Concepts, Data Structures"
73,Signal Processing,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
74,Robotics,Environmental Engineer,"Introduction to Embedded Systems, Robotics"
75,Signal Processing,AI Specialist,"Signal Processing, Analog and Digital Communication"
76,Cybersecurity,Embedded Systems Engineer,"Signal Processing, Analog and Digital Communication"
77,Database Management,Data Scientist,"Introduction to Cybersecurity, Digital Forensics"
78,Embedded Systems,Robotics Engineer,"Introduction to Cybersecurity, Digital Forensics"
79,Environmental Engineering,Cybersecurity Analyst,"Introduction to Embedded Systems, Robotics"
80,Cybersecurity,Database Administrator,"Signal Processing, Analog and Digital Communication"
81,Embedded Systems,Signal Processing Engineer,"Database Management Systems, Systems Analysis and Design"
82,Signal Processing,Biochemical Engineer,"Signal Processing, Analog and Digital Communication"
83,Biochemical Engineering,Biochemical Engineer,"Software and Hardware Concepts, Data Structures"
84,Robotics,AI Specialist,"Introduction to Cybersecurity, Digital Forensics"
85,Signal Processing,Environmental Engineer,"Introduction to Embedded Systems, Robotics"
86,Embedded Systems,Database Administrator,"Database Management Systems, Systems Analysis and Design"
87,Robotics,Database Administrator,"Software and Hardware Concepts, Data Structures"
88,Signal Processing,AI Specialist,"Biochemical Engineering, Process Design"
89,"AI, Machine Learning",Environmental Engineer,"Biochemical Engineering, Process Design"
90,Environmental Engineering,Software Developer,"Computer Science I, Computer Science II"
91,Software Development,Database Administrator,"Database Management Systems, Systems Analysis and Design"
92,Database Management,Embedded Systems Engineer,"Environmental Engineering, Water Quality Control"
93,Environmental Engineering,Database Administrator,"Software and Hardware Concepts, Data Structures"
94,Database Management,Data Scientist,"Principles of Digital Design, VLSI Design"
95,Database Management,Signal Processing Engineer,"Data Mining for Business Intelligence, Machine Learning"
96,Cybersecurity,Signal Processing Engineer,"Principles of Digital Design, VLSI Design"
97,Robotics,Database Administrator,"Environmental Engineering, Water Quality Control"
98,Environmental Engineering,Signal Processing Engineer,"Biochemical Engineering, Process Design"
99,Robotics,Embedded Systems Engineer,"Software and Hardware Concepts, Data Structures"
100,Biochemical Engineering,Robotics Engineer,"Biochemical Engineering, Process Design"
101,Database Management,Data Scientist,"Signal Processing, Analog and Digital Communication"
102,Cybersecurity,Software Developer,"Environmental Engineering, Water Quality Control"
103,Signal Processing,Robotics Engineer,"Computer Science I, Computer Science II"
104,Embedded Systems,Data Scientist,"Signal Processing, Analog and Digital Communication"
105,Robotics,Cybersecurity Analyst,"Software and Hardware Concepts, Data Structures"
106,"AI, Machine Learning",Database Administrator,"Principles of Digital Design, VLSI Design"
107,Embedded Systems,Environmental Engineer,"Data Mining for Business Intelligence, Machine Learning"
108,Environmental Engineering,Database Administrator,"Introduction to Cybersecurity, Digital Forensics"
109,Cybersecurity,Environmental Engineer,"Environmental Engineering, Water Quality Control"
110,Software Development,Environmental Engineer,"Introduction to Cybersecurity, Digital Forensics"
111,Environmental Engineering,AI Specialist,"Environmental Engineering, Water Quality Control"
112,Biochemical Engineering,Biochemical Engineer,"Environmental Engineering, Water Quality Control"
113,Cybersecurity,Environmental Engineer,"Software and Hardware Concepts, Data Structures"
114,Software Development,Software Developer,"Introduction to Cybersecurity, Digital Forensics"
115,Database Management,Embedded Systems Engineer,"Computer Science I, Computer Science II"
116,Signal Processing,Signal Processing Engineer,"Biochemical Engineering, Process Design"
117,Database Management,Database Administrator,"Environmental Engineering, Water Quality Control"
118,Software Development,Environmental Engineer,"Biochemical Engineering, Process Design"
119,Cybersecurity,Software Developer,"Computer Science I, Computer Science II"
120,Cybersecurity,Data Scientist,"Software and Hardware Concepts, Data Structures"
121,Cybersecurity,Software Developer,"Biochemical Engineering, Process Design"
122,Database Management,AI Specialist,"Data Mining for Business Intelligence, Machine Learning"
123,Software Development,AI Specialist,"Principles of Digital Design, VLSI Design"
124,Software Development,Embedded Systems Engineer,"Environmental Engineering, Water Quality Control"
125,Software Development,Environmental Engineer,"Signal Processing, Analog and Digital Communication"
126,Software Development,Biochemical Engineer,"Data Mining for Business Intelligence, Machine Learning"
127,Robotics,Environmental Engineer,"Computer Science I, Computer Science II"
128,Biochemical Engineering,Cybersecurity Analyst,"Signal Processing, Analog and Digital Communication"
129,Database Management,Data Scientist,"Signal Processing, Analog and Digital Communication"
130,Software Development,Data Scientist,"Data Mining for Business Intelligence, Machine Learning"
131,Software Development,Signal Processing Engineer,"Introduction to Cybersecurity, Digital Forensics"
132,Cybersecurity,Data Scientist,"Biochemical Engineering, Process Design"
133,Software Development,Biochemical Engineer,"Database Management Systems, Systems Analysis and Design"
134,"AI, Machine Learning",Biochemical Engineer,"Introduction to Cybersecurity, Digital Forensics"
135,Database Management,Signal Processing Engineer,"Biochemical Engineering, Process Design"
136,Software Development,Database Administrator,"Environmental Engineering, Water Quality Control"
