Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Status
Information Systems,Information Systems,2.51,1224,7,6,10,10,4,4,10,0.85,Yes
Business Tech0logy Administration,Mechanical Engineering,2.67,921,3,1,2,4,5,9,3,2.15,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),1.2,1460,23,1,9,6,6,5,5,3.07,Yes
Electrical Engineering,Information Systems,0.36,1131,27,10,1,10,9,3,3,0.53,No
Computer Engineering,Information Systems,2.02,806,30,10,7,1,9,1,9,2.31,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.95,1589,16,2,5,3,8,3,0,2.88,Yes
Environmental Engineering,Information Systems,1.18,1407,14,6,3,3,3,8,4,3.39,No
Mechanical Engineering,Computer Science and Electrical Engineering,2.26,1378,22,0,0,10,5,0,4,0.96,No
Electrical Engineering,Information Systems,2.43,875,20,7,9,1,6,2,5,0.55,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.69,985,10,3,5,9,10,5,4,2.47,Yes
Bioinformatics and Computational Biology,Information Systems,3.1,1260,29,5,6,8,8,6,0,1.47,Yes
Electrical Engineering,Mechanical Engineering,3.24,1141,4,4,7,1,0,7,9,2.49,No
Bioinformatics and Computational Biology,Information Systems,0.74,969,31,0,6,0,7,9,5,0.98,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.83,1029,14,4,1,4,10,2,9,0.94,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.83,1108,5,4,2,7,5,10,8,3.05,Yes
Mechanical Engineering,Information Systems,0.75,827,4,6,0,7,4,1,8,1.13,Yes
Computer Science,Computer Science and Electrical Engineering,2.02,1369,11,8,3,4,2,9,0,3.81,Yes
Business Tech0logy Administration,Information Systems,1.12,1572,25,8,4,0,2,2,10,2.95,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.86,1405,12,0,8,6,2,10,0,3.79,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.9,982,31,4,0,6,2,2,2,2.57,No
Bioinformatics and Computational Biology,Information Systems,0.14,1279,11,3,10,9,5,5,2,3.13,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.01,844,32,6,6,10,5,3,8,1.55,No
Computer Engineering,Computer Science and Electrical Engineering,3.59,1305,11,4,3,6,3,4,3,3.97,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.82,1448,7,1,7,5,8,0,1,1.07,Yes
Chemical Engineering,Mechanical Engineering,0.77,1062,2,10,9,1,8,1,3,0.34,Yes
Electrical Engineering,Mechanical Engineering,2.94,934,1,3,1,7,10,9,8,3.49,Yes
Business Tech0logy Administration,Mechanical Engineering,2.01,1529,25,9,4,0,4,0,5,2.22,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.55,1152,9,3,1,10,6,5,4,1.64,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.57,849,29,9,1,0,4,7,5,1.27,No
Environmental Engineering,Information Systems,0.76,1534,10,2,6,6,3,6,6,3.83,Yes
Business Tech0logy Administration,Mechanical Engineering,0.09,1419,27,10,3,0,2,10,1,3.67,Yes
Environmental Engineering,Mechanical Engineering,2.96,1325,19,4,8,3,8,9,2,3.47,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.71,1550,19,7,9,10,1,9,9,2.56,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,0.97,1154,20,1,1,9,7,2,2,0.93,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.49,1021,29,10,6,5,3,1,5,3.45,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.17,1090,3,1,7,4,7,3,1,3.63,Yes
Cybersecurity Informatics,Information Systems,2.12,990,22,8,0,8,1,0,6,1.31,No
Bioinformatics and Computational Biology,Information Systems,3.05,1330,22,4,0,7,6,7,8,2.54,Yes
Electrical Engineering,Mechanical Engineering,1.35,1114,29,1,6,10,2,9,2,0,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.61,1119,23,1,4,2,10,3,8,3.14,Yes
